Rk,Year,Conf,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
65,1956,PCC,3,7,0,.300,4.99,10.29,,,,Pappy Waldorf (3-7),,
66,1955,PCC,2,7,1,.250,-1.20,7.60,,,,Pappy Waldorf (2-7-1),,
67,1954,PCC,5,5,0,.500,9.46,6.46,12,12,,Pappy Waldorf (5-5),,
68,1953,PCC,4,4,2,.500,9.08,6.18,14,14,,Pappy Waldorf (4-4-2),,
69,1952,PCC,7,3,0,.700,18.00,8.40,8,3,,Pappy Waldorf (7-3),,
70,1951,PCC,8,2,0,.800,18.69,7.89,5,1,12,Pappy Waldorf (8-2),,
71,1950,PCC,9,1,1,.864,17.92,6.83,14,4,5,Pappy Waldorf (9-1-1),Rose Bowl-L,
72,1949,PCC,10,1,0,.909,27.00,12.00,,2,3,Pappy Waldorf (10-1),Rose Bowl-L,
73,1948,PCC,10,1,0,.909,20.56,5.02,,4,4,Pappy Waldorf (10-1),Rose Bowl-L,
74,1947,PCC,9,1,0,.900,15.72,4.22,,4,15,Pappy Waldorf (9-1),,
75,1946,PCC,2,7,0,.222,-4.48,3.52,,,,Frank Wickhorst (2-7),,
76,1945,PCC,4,5,1,.450,-5.64,-4.44,,,,Buck Shaw (4-5-1),,
77,1944,PCC,3,6,1,.350,-8.03,-2.23,,12,,Stub Allison (3-6-1),,
78,1943,PCC,4,6,0,.400,-5.27,-2.97,,20,,Stub Allison (4-6),,
79,1942,PCC,5,5,0,.500,1.15,2.65,,,,Stub Allison (5-5),,
80,1941,PCC,4,5,0,.444,15.03,11.92,,,,Stub Allison (4-5),,
81,1940,PCC,4,6,0,.400,7.50,10.50,,,,Stub Allison (4-6),,
82,1939,PCC,3,7,0,.300,-4.70,-0.40,,,,Stub Allison (3-7),,
83,1938,PCC,10,1,0,.909,16.09,3.46,,3,14,Stub Allison (10-1),,
84,1937,PCC,10,0,1,.955,18.02,2.02,,1,2,Stub Allison (10-0-1),Rose Bowl-W,
85,1936,PCC,6,5,0,.545,8.32,3.95,,,,Stub Allison (6-5),,
86,1935,PCC,9,1,0,.900,14.18,3.58,,,,Stub Allison (9-1),,
87,1934,PCC,6,6,0,.500,0.55,-1.54,,,,William Ingram (6-6),,
88,1933,PCC,6,3,2,.636,11.30,3.30,,,,William Ingram (6-3-2),,
89,1932,PCC,7,3,2,.667,9.20,3.36,,,,William Ingram (7-3-2),,
90,1931,PCC,8,2,0,.800,11.00,4.00,,,,William Ingram (8-2),,
91,1930,PCC,4,5,0,.444,-1.55,2.12,,,,Nibs Price (4-5),,
92,1929,PCC,7,1,1,.833,8.86,0.75,,,,Nibs Price (7-1-1),,
93,1928,PCC,6,2,2,.700,9.01,2.61,,,,Nibs Price (6-2-2),Rose Bowl-L,
94,1927,PCC,7,3,0,.700,6.93,-1.97,,,,Nibs Price (7-3),,
95,1926,PCC,3,6,0,.333,-4.97,1.36,,,,Nibs Price (3-6),,
96,1925,PCC,6,3,0,.667,4.41,-5.81,,,,Andy Smith (6-3),,
97,1924,PCC,8,0,2,.900,10.56,-0.04,,,,Andy Smith (8-0-2),,
98,1923,PCC,9,0,1,.950,9.44,-3.46,,,,Andy Smith (9-0-1),,
99,1922,PCC,9,0,0,1.000,17.73,-4.93,,,,Andy Smith (9-0),,
100,1921,PCC,9,0,1,.950,13.11,-4.89,,,,Andy Smith (9-0-1),Rose Bowl-T,
101,1920,PCC,9,0,0,1.000,17.18,-4.93,,,,Andy Smith (9-0),Rose Bowl-W,
102,1919,PCC,6,2,1,.722,1.23,-4.88,,,,Andy Smith (6-2-1),,
103,1918,PCC,6,2,0,.750,1.67,-8.21,,,,Andy Smith (7-2),,
104,1917,PCC,5,5,1,.500,-2.20,-4.02,,,,Andy Smith (5-5-1),,
105,1916,PCC,6,4,1,.591,0.72,-5.28,,,,Andy Smith (6-4-1),,
