,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"GIRL LIKE ME","Black Eyed Peas",1517642,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
55,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1514847,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
56,"Wants and Needs (feat. Lil Baby)",Drake,1466569,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
57,"What You Know Bout Love","Pop Smoke",1437373,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
58,"Sweater Weather","The Neighbourhood",1404673,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
59,"Best Friend (feat. Doja Cat)",Saweetie,1401326,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
60,"WAP (feat. Megan Thee Stallion)","Cardi B",1400883,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
61,"Dance Monkey","Tones And I",1400796,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
62,"My Head & My Heart","Ava Max",1397173,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
63,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1375693,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
64,Reloj,"Rauw Alejandro",1357656,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
65,"Roses - Imanbek Remix","SAINt JHN",1354948,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
66,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1338035,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
67,"Unstable (feat. The Kid LAROI)","Justin Bieber",1329366,https://open.spotify.com/track/137mSruegm1u6x9NvwiagR
68,SugarCrash!,ElyOtto,1306614,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
69,"Therefore I Am","Billie Eilish",1284021,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
70,"Richer (feat. Polo G)","Rod Wave",1278116,https://open.spotify.com/track/7HsjuVBM93Z2RoxjpWLgTT
71,Ghost,"Justin Bieber",1275229,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
72,Hawái,Maluma,1254532,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
73,"Before You Go","Lewis Capaldi",1241676,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
