Player,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Allie Quigley,CHI,G,22,22,631,129,288,.448,46,133,.346,83,155,.535,.528,34,37,.919,6,63,52,14,6,28,31,338
Danielle Robinson,LVA,G,22,1,492,62,121,.512,5,13,.385,57,108,.528,.533,34,42,.810,5,53,71,19,2,28,38,163
Sugar Rodgers,LVA,G,22,1,263,26,81,.321,20,64,.313,6,17,.353,.444,3,4,.750,3,28,31,7,3,16,25,75
Tierra Ruffin-Pratt,LAS,G,17,10,251,12,45,.267,6,13,.462,6,32,.188,.333,19,26,.731,9,36,15,11,3,9,28,49
Mercedes Russell,SEA,C,22,2,304,32,78,.410,0,0,,32,78,.410,.410,14,25,.560,16,70,13,8,8,16,21,78
Satou Sabally,DAL,F,16,14,450,67,182,.368,13,66,.197,54,116,.466,.404,75,86,.872,41,124,40,14,14,35,50,222
Katie Lou Samuelson,DAL,F,22,4,439,40,96,.417,19,60,.317,21,36,.583,.516,11,15,.733,8,53,30,15,9,12,32,110
Kylee Shook,NYL,F,20,0,290,32,79,.405,3,17,.176,29,62,.468,.424,14,17,.824,15,56,11,7,10,20,26,81
Odyssey Sims,MIN,G,13,7,240,42,104,.404,8,24,.333,34,80,.425,.442,30,33,.909,8,26,45,7,1,25,22,122
Kamiah Smalls,IND,,7,0,100,9,20,.450,7,12,.583,2,8,.250,.625,2,2,1.000,5,8,14,1,1,2,3,27
Alanna Smith,PHO,F,19,0,296,43,102,.422,10,43,.233,33,59,.559,.471,20,29,.690,21,69,23,5,15,18,47,116
Azura Stevens,CHI,F-C,13,13,355,59,118,.500,15,39,.385,44,79,.557,.564,17,20,.850,18,77,20,12,24,20,39,150
Breanna Stewart,SEA,F,20,20,607,133,295,.451,35,95,.368,98,200,.490,.510,93,104,.894,20,165,72,33,26,51,45,394
Kiah Stokes,NYL,C,22,22,601,51,137,.372,20,85,.235,31,52,.596,.445,4,7,.571,28,147,26,11,26,29,45,126
Shekinna Stricklen,ATL,F,22,15,482,47,138,.341,33,99,.333,14,39,.359,.460,8,8,1.000,4,42,14,7,1,15,43,135
Sug Sutton,WAS,G,12,0,113,12,33,.364,5,17,.294,7,16,.438,.439,5,7,.714,0,8,12,1,0,6,11,34
Carolyn Swords,LVA,C,22,21,384,23,50,.460,0,0,,23,50,.460,.460,17,22,.773,33,102,20,5,1,18,21,63
Brittney Sykes,LAS,G,21,14,517,73,150,.487,16,49,.327,57,101,.564,.540,50,62,.806,16,54,45,31,6,36,62,212
Diana Taurasi,PHO,G,19,19,533,96,235,.409,61,167,.365,35,68,.515,.538,103,113,.912,2,79,86,19,8,44,52,356
Alyssa Thomas,CON,F,21,21,689,122,244,.500,0,1,.000,122,243,.502,.500,81,118,.686,39,190,101,42,6,52,59,325
Jasmine Thomas,CON,G,19,19,485,76,188,.404,21,63,.333,55,125,.440,.460,21,23,.913,4,33,76,24,5,46,30,194
Kayla Thornton,DAL,F,22,14,557,54,126,.429,25,72,.347,29,54,.537,.528,28,32,.875,32,113,17,19,4,25,65,161
Morgan Tuck,SEA,F,10,0,88,5,16,.313,2,9,.222,3,7,.429,.375,5,8,.625,2,6,2,5,0,6,12,17
Brianna Turner,PHO,F,22,22,613,66,114,.579,0,1,.000,66,113,.584,.579,27,42,.643,57,198,39,24,43,31,66,159
Courtney Vandersloot,CHI,G,22,22,693,107,218,.491,30,76,.395,77,142,.542,.560,56,63,.889,11,77,219,26,8,54,46,300
Kia Vaughn,PHO,C,22,10,415,62,127,.488,0,2,.000,62,125,.496,.488,11,19,.579,24,80,34,11,7,34,39,135
Victoria Vivians,IND,G,6,0,85,10,29,.345,2,11,.182,8,18,.444,.379,7,8,.875,2,14,3,1,0,6,15,29
